| Topic | Questions | Level |
| Dynamic Programming | Maximum sum increasing subsequence | Medium |
| Dynamic Programming | Max length chain | Medium |
| Dynamic Programming | Maximum path sum in matrix | Medium |
| Dynamic Programming | Regular Expression Match | Medium |
| Dynamic Programming | Smallest sequence with given Primes | Medium |
| Dynamic Programming | Wildcard Pattern Matching | Medium |
| Dynamic Programming | Tiling With Dominoes | Medium |
| Dynamic Programming | Paint House! | Medium |
| Dynamic Programming | Intersecting Chords in a Circle | Medium |
| Dynamic Programming | N digit numbers with digit sum S | Medium |
| Dynamic Programming | Kth Manhattan Distance Neighbourhood | Medium |
| Dynamic Programming | Best Time to Buy and Sell Stock atmost B times | Medium |
| Dynamic Programming | Best Time to Buy and Sell Stocks III | Medium |
| Dynamic Programming | Longest valid Parentheses | Medium |
| Dynamic Programming | Rod Cutting | Medium |
| Dynamic Programming | Max Rectangle in Binary Matrix | Medium |
| Dynamic Programming | Maximum Size Square Sub-matrix | Medium |
| Dynamic Programming | Maximum Path in Triangle | Medium |
| Dynamic Programming | Min Sum Path in Matrix | Medium |
| Dynamic Programming | Coin Sum Infinite | Medium |
| Dynamic Programming | Arrange II | Medium |
| Dynamic Programming | Interleaved Strings | Medium |
| Dynamic Programming | Consecutive 1's not allowed | Medium |
| Dynamic Programming | Unique BST's | Medium |
| Dynamic Programming | Minimum number of Coins | Medium |
| Dynamic Programming | Maximum Tip Calculator | Medium |
| Dynamic Programming | Snake and Ladder Problem | Medium |
| Dynamic Programming | Special Keyboard | Medium |
| Dynamic Programming | Minimum cost to fill given weight in a bag | Medium |
| Dynamic Programming | Count ways to N'th Stair(Order does not matter) | Medium |
| Dynamic Programming | Distinct occurrences | Medium |
| Dynamic Programming | Count subsequences of type a^i, b^j, c^k | Medium |
| Dynamic Programming | Special Matrix | Medium |
| Dynamic Programming | Number of ways | Medium |
| Dynamic Programming | Distinct Coloring | Medium |
| Dynamic Programming | Shortest XY distance in Grid | Medium |
| Dynamic Programming | Water Overflow | Medium |
| Dynamic Programming | Count possible ways to construct buildings | Medium |
| Dynamic Programming | Number of paths in a matrix with k coins | Medium |
| Dynamic Programming | Buy and Sell a Share at most twice | Medium |
| Dynamic Programming | Minimum steps to destination | Medium |
| Dynamic Programming | Player with max score | Medium |
| Dynamic Programming | Cutting Binary String | Medium |
| Dynamic Programming | Two water Jug problem | Medium |
| Dynamic Programming | Min cut Square | Medium |
| Dynamic Programming | Maximum sum of elements not part of LIS | Medium |
| Dynamic Programming | Count of AP Subsequences | Medium |
| Dynamic Programming | Pascal's Triangle | Medium |
| Dynamic Programming | Pascal's Triangle II | Medium |
| Dynamic Programming | Best Time to Buy and Sell Stock IV | Medium |
| Dynamic Programming | House Robber | Medium |
| Dynamic Programming | House Robber II | Medium |
| Dynamic Programming | Last Stone Weight II | Medium |
| Dynamic Programming | Predict the Winner | Medium |
| Dynamic Programming | Palindromic Partitioning | Hard |
| Dynamic Programming | Minimum sum partition | Hard |
| Dynamic Programming | Smallest window in a string containing all the characters of another string | Hard |
| Dynamic Programming | The Painter's Partition Problem-II | Hard |
| Dynamic Programming | Word Wrap | Hard |
| Dynamic Programming | Partition array to K subsets | Hard |
| Dynamic Programming | Word Break - Part 2 | Hard |
| Dynamic Programming | Maximum Profit | Hard |
| Dynamic Programming | Maximum Number of coins | Hard |
| Dynamic Programming | Minimum Points To Reach Destination | Hard |
| Dynamic Programming | Count occurrences of a given word in a 2-d array | Hard |
| Dynamic Programming | Print all LCS sequences | Hard |
| Dynamic Programming | Find all possible palindromic partitions of a String | Hard |
| Dynamic Programming | Strictly Increasing Array | Hard |
| Dynamic Programming | Brackets in Matrix Chain Multiplication | Hard |
| Dynamic Programming | Longest Zig-Zag Sub Sequence | Hard |
| Dynamic Programming | Longest Increasing Path in a Matrix | Hard |
| Dynamic Programming | Burst Balloons | Hard |
| Dynamic Programming | Russian Doll Envelopes | Hard |
| Dynamic Programming | Number of Ways to Stay in the | Hard |
| Dynamic Programming | Maximum Sum BST in Binary | Hard |
| Segment Tree | XOR of a given range | Easy |
| Segment Tree | Maximum prefix sum for a given range | Easy |
| Segment Tree | Range Minimum Query | Medium |
| Segment Tree | Nitika and her queries | Medium |
| Segment Tree | Smallest Subarray GCD | Medium |
| Segment Tree | Element left after performing alternate OR & XOR operation | Medium |
| Segment Tree | Array Partition | Hard |
| Segment Tree | Akku and Arrays | Hard |
| Segment Tree | Greater or Less | Hard |
| Trie | Unique rows in boolean matrix | Easy |
| Trie | Trie | (Insert and Search) | Medium |
| Trie | Word Boggle | Medium |
| Trie | Most frequent word in an array of strings | Medium |
| Trie | Maximum XOR subarray | Medium |
| Trie | CamelCase Pattern Matching | Medium |
| Trie | Trie | (Delete) | Medium |
| Trie | Word Boggle - II | Medium |
| Trie | Prefix match with other strings | Medium |
| Trie | Phone directory | Hard |
| Trie | Palindrome Pairs | Hard |
| Trie | Shortest Unique prefix for every word | Hard |
| Trie | Word Break (Trie) | Hard |
| Trie | Find duplicate rows in a binary matrix | Hard |
| Fenwick Tree | Range Sum Query - Mutable | Medium |
| Fenwick Tree | Count Number of Teams | Medium |
| Fenwick Tree | Minimum Possible Integer After at Most K Adjacent Swaps On Digits | Hard |
| Fenwick Tree | Count Increasing Quadruplets | Hard |
